passation_hour,visitor_id,age,gender,city_country_residence,nationality,french_level,diploma,one_artwork_interest,discovery_interest,crowd_tolerance,lose_interest_with_crowd,distance_tolerance,already_visited,number_visits,last_time_visited,group_or_alone,visit_duration,eye_problem,physical_sleepiness,mental_sleepiness,speed,current_emotion,motiv_curiosity,motiv_else,motiv_familyOut,motiv_price,motiv_schoolOut,motiv_weather,visitGoal_surprised,visitGoal_else,visitGoal_explore,visitGoal_inspiration,visitGoal_fun,visitGoal_interact,visitGoal_learn,visitGoal_noGoal,visitGoal_SeeAgain,visitGoal_mindOff
2019/02/22 3:09:24 PM UTC+2,201902221400,21,man,"Nancy, France",Syrian,Advanced,A levels,3,4,4,3,4,Yes,2,About a year ago,alone,unlimited,Normal vision,2,2,3,4,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
2019/02/22 3:10:22 PM UTC+2,201902221410,36,woman,"Charleville-Mézières, France",belgian,Native/bilingual,"BA, BS/BSc",1,4,4,1,4,No,0,Never,group,120,Normal vision,1,1,3,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2019/02/22 5:06:10 PM UTC+2,201902221600,28,man,"Nancy, France",french,Native/bilingual,PhD,5,2,3,5,5,No,0,Never,group,unlimited,Normal vision,2,1,4,5,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
2019/02/22 5:08:23 PM UTC+2,201902221610,27,non_binary,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",1,4,1,5,5,Yes,3,Several years ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",3,1,2,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
2019/02/23 1:10:15 PM UTC+2,201902231200,28,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",4,2,3,3,4,Yes,1,Several years ago,alone,unlimited,Normal vision,3,2,3,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2019/02/25 1:06:50 PM UTC+2,201902251200,48,man,"vignot, France",french,Native/bilingual,PhD,1,3,4,3,5,No,0,Never,alone,90,"Normal vision with visual correction device (glasses, lenses)",3,2,2,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2019/03/01 11:20:29 AM UTC+2,201903011020,20,woman,"Nancy, France",french,Native/bilingual,A levels,2,1,3,1,5,Yes,10,Several months ago,group,unlimited,Normal vision,1,1,3,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
2019/03/01 11:20:30 AM UTC+2,201903011010,20,woman,"Nancy, France",french,Native/bilingual,A levels,1,5,4,1,5,Yes,10,Several months ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,1,3,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2019/03/01 5:06:39 PM UTC+2,201903011610,24,woman,"Nancy, France",french,Native/bilingual,"BA, BS/BSc",2,1,3,5,5,No,0,Never,group,unlimited,Normal vision,3,4,3,3,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
2019/03/01 5:06:41 PM UTC+2,201903011600,24,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",4,4,2,4,5,Yes,4,Several years ago,group,unlimited,Normal vision,2,2,4,4,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
2019/03/02 3:08:23 PM UTC+2,201903021410,20,man,"Nancy, France",french,Native/bilingual,BTEC Higher National Diploma,3,4,3,4,5,Yes,1,About a year ago,group,unlimited,Normal vision,3,3,3,4,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1
2019/03/02 3:08:26 PM UTC+2,201903021400,22,woman,"Nancy, France",moroccan,Native/bilingual,BTEC Higher National Diploma,2,4,2,4,4,Yes,3,Several months ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",3,3,2,3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
2019/03/02 5:05:58 PM UTC+2,201903021610,31,man,"Nancy, France",french,Native/bilingual,A levels,3,5,3,4,5,Yes,20,Several months ago,group,90,"Normal vision with visual correction device (glasses, lenses)",2,2,3,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
2019/03/02 5:06:01 PM UTC+2,201903021600,23,woman,"Nancy, France",french,Native/bilingual,A levels,3,5,4,1,5,Yes,2,About a year ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",2,1,4,5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2019/03/04 11:23:27 AM UTC+2,201903041020,20,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",3,4,2,4,4,Yes,2,Several years ago,group,unlimited,Normal vision,4,4,4,4,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
2019/03/04 11:23:27 AM UTC+2,201903041010,55,woman,"Nancy, France",french,Native/bilingual,PhD,1,4,3,5,5,Yes,6,Several years ago,group,unlimited,Normal vision,3,3,3,5,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1
2019/03/04 5:16:31 PM UTC+2,201903041600,24,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",2,5,2,2,5,No,0,Never,alone,unlimited,Normal vision,1,1,3,3,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
2019/03/06 11:18:46 AM UTC+2,201903061010,20,woman,"Nancy, France",french,Native/bilingual,A levels,1,4,2,2,4,Yes,1,Several months ago,alone,unlimited,Normal vision,3,2,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2019/03/06 3:11:38 PM UTC+2,201903061410,45,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",4,4,2,3,5,Yes,10,Several months ago,group,unlimited,Normal vision,1,1,4,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
2019/03/06 3:11:39 PM UTC+2,201903061400,38,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",4,3,1,4,2,Yes,3,Several years ago,group,60,Normal vision,1,1,4,3,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
2019/03/06 5:10:59 PM UTC+2,201903061610,22,man,"Nancy, France",french,Native/bilingual,A levels,1,4,4,2,4,No,0,Never,group,unlimited,Normal vision,2,1,4,5,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
2019/03/06 5:11:01 PM UTC+2,201903061600,23,woman,"Nancy, France",french,Native/bilingual,A levels,4,2,1,3,4,No,0,Never,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",4,2,5,4,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
2019/03/08 11:14:54 AM UTC+2,201903081020,22,man,"Nancy, France",french,Native/bilingual,A levels,2,4,4,2,5,Yes,3,Several months ago,group,unlimited,Daltonism,3,2,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019/03/08 11:14:59 AM UTC+2,201903081010,26,woman,"Vandoeuvre-les-Nancy, France",french,Native/bilingual,PhD,5,3,2,4,5,No,0,Never,group,unlimited,Normal vision,2,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2019/03/08 3:12:06 PM UTC+2,201903081410,29,man,"Villers-les-Nancy, France",chinese,Intermediary,"Master's Degree, MS/MSc",4,5,4,3,4,No,0,Never,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",2,2,3,4,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0
2019/03/08 3:12:10 PM UTC+2,201903081400,22,man,"Villers-les-Nancy, France",chinese,Advanced,BTEC Higher National Diploma,4,5,3,3,2,No,0,Never,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",2,2,4,5,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0
2019/03/08 5:08:36 PM UTC+2,201903081610,24,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",3,2,1,5,3,No,0,Never,group,unlimited,Normal vision,4,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019/03/08 5:08:41 PM UTC+2,201903081600,45,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",4,4,2,5,4,Yes,10,Several months ago,group,90,Normal vision,2,3,3,4,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0
2019/03/09 11:15:45 AM UTC+2,201903091010,22,man,"Nancy, France",french,Native/bilingual,"BA, BS/BSc",2,4,3,4,4,Yes,1,About a year ago,alone,120,"Normal vision with visual correction device (glasses, lenses)",3,2,2,3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
2019/03/09 12:59:32 PM UTC+2,201903091210,19,man,"Vandoeuvre-les-Nancy, France",Lebanese,Advanced,A levels,2,4,3,4,4,No,0,Never,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,1,3,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2019/03/09 12:59:35 PM UTC+2,201903091200,30,woman,"Nancy, France",Lebanese,Intermediary,"Master's Degree, MS/MSc",4,5,3,5,5,No,0,Never,group,unlimited,Normal vision,1,1,2,3,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2019/03/09 2:59:49 PM UTC+2,201903091400,31,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",4,3,1,4,5,Yes,8,About a year ago,alone,60,Normal vision,3,3,4,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2019/03/09 3:17:05 PM UTC+2,201903091410,45,woman,"Maron, France",french,Advanced,PhD,3,2,3,3,5,Yes,10,A few weeks ago,group,60,Normal vision,1,1,4,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2019/03/09 5:04:28 PM UTC+2,201903091600,50,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",1,3,4,5,5,Yes,100,Several months ago,alone,unlimited,Normal vision,1,2,4,5,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
2019/03/11 3:06:44 PM UTC+2,201903111410,60,man,"Sorneville, France",french,Native/bilingual,"BA, BS/BSc",4,3,2,1,2,Yes,10,About a year ago,group,120,"Normal vision with visual correction device (glasses, lenses)",1,1,4,5,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
2019/03/11 3:06:47 PM UTC+2,201903111400,60,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",3,5,2,5,5,Yes,12,About a year ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,1,3,4,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0
2019/03/11 5:18:20 PM UTC+2,201903111610,20,woman,"Nancy, France",french,Native/bilingual,A levels,2,3,4,1,5,Yes,1,Several years ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",4,4,3,4,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
2019/03/11 5:18:23 PM UTC+2,201903111600,24,man,"Nancy, France",french,Native/bilingual,BTEC Higher National Diploma,2,4,4,4,5,No,0,Never,group,unlimited,Normal vision,2,2,3,5,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1
2019/03/13 1:18:58 PM UTC+2,201903131210,26,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",3,5,2,4,4,No,0,Never,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,1,4,4,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
2019/03/13 1:18:59 PM UTC+2,201903131200,28,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",4,2,1,3,5,Yes,2,About a year ago,group,unlimited,Normal vision,1,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
2019/03/13 5:10:15 PM UTC+2,201903131600,30,man,"Saint-Nicolas-de-Port, France",french,Native/bilingual,"BA, BS/BSc",3,5,1,4,5,No,0,Never,group,unlimited,Normal vision,1,1,5,5,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0
2019/03/13 5:11:51 PM UTC+2,201903131610,33,woman,"Saint-Nicolas-de-Port, France",french,Native/bilingual,A levels,3,1,1,2,4,Yes,1,Several years ago,group,60,Normal vision,2,2,4,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2019/03/14 11:14:42 AM UTC+2,201903141010,42,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",1,4,2,1,5,Yes,5,Several months ago,alone,45,Normal vision,1,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2019/03/14 3:08:02 PM UTC+2,200903141400,52,man,"Saint-Sebastien-sur-Loire, France",french,Native/bilingual,"Youth Training, BTEC First Diploma, NVQ Level 1-2",1,5,5,1,5,No,0,Never,alone,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,1,3,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019/03/14 5:14:18 PM UTC+2,201903141600,41,woman,"Nancy, France",french,Native/bilingual,PhD,3,4,2,3,5,Yes,3,About a year ago,alone,60,"Normal vision with visual correction device (glasses, lenses)",4,3,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019/03/15 11:29:00 AM UTC+2,201903151020,22,woman,"Nancy, France",french,Native/bilingual,BTEC Higher National Diploma,2,2,2,2,4,Yes,3,About a year ago,alone,unlimited,Normal vision,1,1,3,4,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
2019/03/15 1:01:36 PM UTC+2,201903151210,81,woman,"Nancy, France",french,Native/bilingual,PhD,4,2,2,2,4,Yes,30,A few weeks ago,group,60,"Normal vision with visual correction device (glasses, lenses)",4,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019/03/15 1:01:56 PM UTC+2,201903151200,51,man,"Fontenoy-sur-moselle, France",french,Native/bilingual,PhD,3,4,3,3,4,Yes,10,A few weeks ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,1,3,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
2019/03/15 3:02:51 PM UTC+2,201903151400,65,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",5,1,1,4,3,Yes,10,Several months ago,group,45,"Normal vision with visual correction device (glasses, lenses)",1,1,3,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2019/03/15 3:03:25 PM UTC+2,201903151410,64,man,"Jarville-la-Malgrange, France",french,Native/bilingual,"Master's Degree, MS/MSc",1,1,3,5,2,Yes,2,Several months ago,group,45,"Normal vision with visual correction device (glasses, lenses)",1,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019/03/16 3:10:26 PM UTC+2,201903161410,28,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",2,5,2,3,5,Yes,1,A few weeks ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",3,2,2,4,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
2019/03/16 3:10:30 PM UTC+2,201903161400,24,man,"Nancy, France",french,Native/bilingual,PhD,4,5,3,4,2,Yes,3,Several years ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",2,1,3,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1
2019/03/16 5:02:40 PM UTC+2,201903161610,27,non_binary,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",5,3,2,3,5,Yes,3,About a year ago,group,60,Normal vision,1,2,3,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2019/03/16 5:02:42 PM UTC+2,201903161600,32,woman,"Nancy, France",Korean,Advanced,"Master's Degree, MS/MSc",3,4,1,2,3,Yes,3,About a year ago,group,unlimited,Normal vision,1,1,3,5,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2019/03/18 11:16:23 AM UTC+2,201903181020,23,woman,"Nancy, France",french,Native/bilingual,"BA, BS/BSc",2,5,2,4,5,No,0,Never,group,unlimited,Normal vision,1,1,3,4,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
2019/03/18 11:16:25 AM UTC+2,201903181010,22,man,"Saint-Die-des-Vosges, France",french,Native/bilingual,"BA, BS/BSc",4,4,3,1,4,No,0,Never,group,unlimited,Normal vision,1,1,3,5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
